策略,总收益率,最大回撤,夏普比率
趋势+移动止损,-0.04670015643524879,-0.04670015643524883,inf
小盘动量轮动,-0.14257707782375495,-0.2045572936574021,-1.6055641150034021
均值回归(RSI),-0.19155235381766245,-0.24741095148191733,-1.5915883777080064
